TITLE     = "fluent14.5.0  build-id: 10329"
VARIABLES = "X"
"Y"
"Z"
"Temperature"
DATASETAUXDATA Common.DensityVar="48"
DATASETAUXDATA Common.PressureVar="50"
DATASETAUXDATA Common.TemperatureVar="4"
DATASETAUXDATA Common.UVar="51"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="62"
DATASETAUXDATA Common.VVar="53"
DATASETAUXDATA Common.WVar="55"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=145, J=110, K=3, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.940972269E-002 -5.399082601E-002 -1.500000013E-003 3.153349609E+002
 -5.840277672E-002 -5.399082601E-002 -1.500000013E-003 3.166792297E+002
 -5.739583448E-002 -5.399082601E-002 -1.500000013E-003 3.169530029E+002
 -5.638888851E-002 -5.399082601E-002 -1.500000013E-003 3.170127258E+002
 -5.538194627E-002 -5.399082601E-002 -1.500000013E-003 3.171573792E+002
 -5.437500030E-002 -5.399082601E-002 -1.500000013E-003 3.182118530E+002
 -5.336805433E-002 -5.399082601E-002 -1.500000013E-003 3.211882935E+002
 -5.236111209E-002 -5.399082601E-002 -1.500000013E-003 3.233587341E+002
 -5.135416612E-002 -5.399082601E-002 -1.500000013E-003 3.238233337E+002
 -5.034722388E-002 -5.399082601E-002 -1.500000013E-003 3.239140015E+002
 -4.934027791E-002 -5.399082601E-002 -1.500000013E-003 3.241638184E+002
 -4.833333194E-002 -5.399082601E-002 -1.500000013E-003 3.259276428E+002
 -4.732638970E-002 -5.399082601E-002 -1.500000013E-003 3.287768250E+002
 -4.631944373E-002 -5.399082601E-002 -1.500000013E-003 3.295626526E+002
 -4.531250149E-002 -5.399082601E-002 -1.500000013E-003 3.296992493E+002
 -4.430555552E-002 -5.399082601E-002 -1.500000013E-003 3.301230469E+002
 -4.329860955E-002 -5.399082601E-002 -1.500000013E-003 3.325341187E+002
 -4.229166731E-002 -5.399082601E-002 -1.500000013E-003 3.341941833E+002
